Shipment_ID,ATA_LCB,Delivery_Date,Commodity,Quantity,Unit
SYN-BL-001,2026-09-04,2026-09-07,Inspection Camera,80,PCS
SYN-BL-001,2026-09-04,2026-09-07,Mounting Bracket,80,PCS
SYN-BL-002,2026-09-09,,Navigation Unit,400,PCS
SYN-BL-002,2026-09-09,,Camera Module,150,PCS
SYN-BL-002,2026-09-09,,Charging Hub,50,PCS
SYN-BL-002,2026-09-09,,Battery Pack,400,PCS
SYN-BL-003,2026-09-12,2026-09-16,Controller Unit,100,PCS
SYN-BL-003,2026-09-12,2026-09-16,Sensor Module,50,PCS
SYN-BL-003,2026-09-12,2026-09-16,Propeller Set,550,PCS
SYN-BL-003,2026-09-12,2026-09-16,Protective Case,250,PCS
SYN-BL-004,2026-09-15,0,Survey Kit,60,SET
SYN-BL-004,2026-09-15,0,Remote Unit,120,PCS
SYN-BL-004,2026-09-15,0,Spare Battery,240,PCS
